kingdom,phylum,class,order,family,genus,species,Species,N
Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,Lithobates catesbeianus,Rana_catesbeiana,13
Animalia,Chordata,Amphibia,Anura,Ranidae,Pelophylax,Pelophylax nigromaculatus,Rana_nigromaculata,13
Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,Anaxyrus punctatus,Bufo_punctatus,11
Animalia,Chordata,Amphibia,Caudata,Salamandridae,Salamandra,Salamandra salamandra,Salamandra_salamandra,12
Animalia,Chordata,Amphibia,Caudata,Salamandridae,Triturus,Triturus marmoratus,Triturus_marmoratus,12
Animalia,Chordata,Amphibia,Anura,Microhylidae,Dyscophus,Dyscophus guineti,Dyscophus_guineti,13
Animalia,Chordata,Amphibia,Anura,Bombinatoridae,Bombina,Bombina bombina,Bombina_bombina,12
Animalia,Chordata,Amphibia,Caudata,Salamandridae,Taricha,Taricha torosa,Taricha_torosa,11
Animalia,Chordata,Amphibia,Caudata,Salamandridae,Taricha,Taricha rivularis,Taricha_rivularis,11
Animalia,Chordata,Amphibia,Caudata,Salamandridae,Notophthalmus,Notophthalmus viridescens,Notophthalmus_viridescens,11
Animalia,Chordata,Amphibia,Caudata,Salamandridae,Salamandra,Salamandra atra,Salamandra_atra,12
Animalia,Chordata,Amphibia,Anura,Mantellidae,Mantidactylus,Mantidactylus biporus,Mantidactylus_biporus,12
Animalia,Chordata,Amphibia,Anura,Mantellidae,Boophis,Boophis luteus,Boophis_luteus,13
Animalia,Chordata,Amphibia,Anura,Bufonidae,Bufo,Bufo gargarizans,Bufo_gargarizans,11
Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma,Ambystoma laterale,Ambystoma_laterale,14
Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma,Ambystoma jeffersonianum,Ambystoma_jeffersonianum,14
Animalia,Chordata,Amphibia,Anura,Bombinatoridae,Bombina,Bombina variegata,Bombina_variegata,12
Animalia,Chordata,Amphibia,Anura,Pelobatidae,Pelobates,Pelobates fuscus,Pelobates_fuscus,13
Animalia,Chordata,Amphibia,Anura,Pelobatidae,Pelobates,Pelobates syriacus,Pelobates_syriacus,13
Animalia,Chordata,Amphibia,Caudata,Hynobiidae,Liua,Liua shihi,Liua_shihi,33
Animalia,Chordata,Amphibia,Caudata,Hynobiidae,Hynobius,Hynobius leechii,Hynobius_leechii,28
Animalia,Chordata,Amphibia,Caudata,Hynobiidae,Liua,Liua tsinpaensis,Liua_tsinpaensis,33
Animalia,Chordata,Amphibia,Caudata,Hynobiidae,Batrachuperus,Batrachuperus pinchonii,Batrachuperus_pinchonii,33
Animalia,Chordata,Amphibia,Caudata,Hynobiidae,Hynobius,Hynobius formosanus,Hynobius_formosanus,29
Animalia,Chordata,Amphibia,Caudata,Hynobiidae,Batrachuperus,Batrachuperus tibetanus,Batrachuperus_tibetanus,31
Animalia,Chordata,Amphibia,Caudata,Hynobiidae,Onychodactylus,Onychodactylus fischeri,Onychodactylus_fischeri,39
Animalia,Chordata,Amphibia,Caudata,Hynobiidae,Paradactylodon,Paradactylodon mustersi,Batrachuperus_mustersi,31
Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma,Ambystoma macrodactylum,Ambystoma_macrodactylum,14
Animalia,Chordata,Amphibia,Caudata,Hynobiidae,Pseudohynobius,Pseudohynobius flavomaculatus,Pseudohynobius_flavomaculatus,26
Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Batrachoseps,Batrachoseps attenuatus,Batrachoseps_attenuatus,13
Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,Dicamptodon,Dicamptodon tenebrosus,Dicamptodon_tenebrosus,14
Animalia,Chordata,Amphibia,Anura,Bufonidae,Rhinella,Rhinella marina,Bufo_marinus,11
Animalia,Chordata,Amphibia,Anura,Bufonidae,Rhinella,Rhinella crucifer,Bufo_crucifer,11
Animalia,Chordata,Amphibia,Anura,Bufonidae,Incilius,Incilius valliceps,Bufo_valliceps,11
Animalia,Chordata,Amphibia,Anura,Bufonidae,Incilius,Incilius mazatlanensis,Bufo_mazatlanensis,11
Animalia,Chordata,Amphibia,Anura,Ranidae,Pelophylax,Pelophylax ridibundus,Rana_ridibunda,13
Animalia,Chordata,Amphibia,Caudata,Proteidae,Proteus,Proteus anguinus,Proteus_anguinus,19
Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Phyllobates,Phyllobates lugubris,Phyllobates_lugubris,12
Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Dendrobates,Dendrobates auratus,Dendrobates_auratus,9
Animalia,Chordata,Amphibia,Anura,Cycloramphidae,Rhinoderma,Rhinoderma darwinii,Rhinoderma_darwinii,13
Animalia,Chordata,Amphibia,Anura,Cycloramphidae,Thoropa,Thoropa miliaris,Thoropa_miliaris,13
Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Colostethus,Colostethus inguinalis,Colostethus_inguinalis,12
Animalia,Chordata,Amphibia,Anura,Microhylidae,Microhyla,Microhyla ornata,Microhyla_ornata,12
Animalia,Chordata,Amphibia,Anura,Hylidae,Hyla,Hyla arborea,Hyla_arborea,12
Animalia,Chordata,Amphibia,Anura,Ptychadenidae,Ptychadena,Ptychadena mascareniensis,Ptychadena_mascareniensis,12
Animalia,Chordata,Amphibia,Anura,Ptychadenidae,Ptychadena,Ptychadena anchietae,Ptychadena_anchietae,12
Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Thorius,Thorius dubitus,Thorius_dubitus,13
Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Nyctanolis,Nyctanolis pernix,Nyctanolis_pernix,13
Animalia,Chordata,Amphibia,Caudata,Hynobiidae,Hynobius,Hynobius sonani,Hynobius_sonani,29
Animalia,Chordata,Amphibia,Caudata,Hynobiidae,Hynobius,Hynobius arisanensis,Hynobius_arisanensis,29
Animalia,Chordata,Amphibia,Caudata,Hynobiidae,Hynobius,Hynobius nebulosus,Hynobius_nebulosus,28
Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,Lithobates clamitans,Rana_clamitans,13
Animalia,Chordata,Amphibia,Caudata,Salamandridae,Chioglossa,Chioglossa lusitanica,Chioglossa_lusitanica,12
Animalia,Chordata,Amphibia,Caudata,Salamandridae,Euproctus,Euproctus montanus,Euproctus_montanus,12
Animalia,Chordata,Amphibia,Caudata,Salamandridae,Euproctus,Euproctus platycephalus,Euproctus_platycephalus,12
Animalia,Chordata,Amphibia,Caudata,Salamandridae,Mertensiella,Mertensiella caucasica,Mertensiella_caucasica,12
Animalia,Chordata,Amphibia,Caudata,Salamandridae,Neurergus,Neurergus strauchii,Neurergus_strauchii,12
Animalia,Chordata,Amphibia,Caudata,Salamandridae,Pleurodeles,Pleurodeles waltl,Pleurodeles_waltl,12
Animalia,Chordata,Amphibia,Caudata,Salamandridae,Triturus,Triturus carnifex,Triturus_carnifex,12
Animalia,Chordata,Amphibia,Caudata,Salamandridae,Triturus,Triturus cristatus,Triturus_cristatus,12
Animalia,Chordata,Amphibia,Caudata,Salamandridae,Triturus,Triturus dobrogicus,Triturus_dobrogicus,12
Animalia,Chordata,Amphibia,Anura,Hylidae,Anotheca,Anotheca spinosa,Anotheca_spinosa,12
Animalia,Chordata,Amphibia,Anura,Hylidae,Diaglena,Diaglena spatulata,Triprion_spatulata,12
Animalia,Chordata,Amphibia,Anura,Mantellidae,Mantella,Mantella baroni,Mantella_baroni,13
Animalia,Chordata,Amphibia,Anura,Mantellidae,Mantella,Mantella haraldmeieri,Mantella_haraldmeieri,13
Animalia,Chordata,Amphibia,Anura,Mantellidae,Mantella,Mantella cowanii,Mantella_cowani,13
Animalia,Chordata,Amphibia,Anura,Ranidae,Pelophylax,Pelophylax perezi,Rana_perezi,13
Animalia,Chordata,Amphibia,Anura,Alytidae,Discoglossus,Discoglossus pictus,Discoglossus_pictus,14
Animalia,Chordata,Amphibia,Anura,Bombinatoridae,Bombina,Bombina orientalis,Bombina_orientalis,12
Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Plethodon,Plethodon cinereus,Plethodon_cinereus,14
Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Plethodon,Plethodon glutinosus,Plethodon_glutinosus,14
Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Plethodon,Plethodon jordani,Plethodon_jordani,14
Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Plethodon,Plethodon nettingi,Plethodon_nettingi,14
Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Plethodon,Plethodon ouachitae,Plethodon_ouachitae,14
Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Plethodon,Plethodon punctatus,Plethodon_punctatus,14
Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Plethodon,Plethodon richmondi,Plethodon_richmondi,14
Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Plethodon,Plethodon wehrlei,Plethodon_wehrlei,14
